Epoch,Training Loss,Validation Loss
662,2.8775214104825864e-06,
663,2.9046309464320075e-06,
664,2.895135821745498e-06,
665,2.867997636712971e-06,
666,2.867570174203138e-06,
667,2.8582587674463866e-06,
668,2.8641800327022793e-06,
669,2.9050768262095517e-06,
670,2.84770567304804e-06,
671,2.8383249173202785e-06,
672,2.824035391313373e-06,
673,2.8493161607912043e-06,
674,2.8254028165974887e-06,
675,2.8232439035491552e-06,
676,2.8154825031379005e-06,
677,2.8204754016769584e-06,
678,2.8117228794144467e-06,
679,2.8024376206303714e-06,
680,2.786480763461441e-06,
681,2.7683888674800983e-06,
682,2.8040772122039925e-06,
683,2.776879682642175e-06,
684,2.7944977318838937e-06,
685,2.7639696327241836e-06,
686,2.761389396255254e-06,
687,2.781139073704253e-06,
688,2.7540186238184106e-06,
689,2.7416622288001236e-06,
690,2.7304852210363606e-06,
691,2.7655007670546183e-06,
692,2.749076202235301e-06,
693,2.729676452872809e-06,
694,2.7223757115280023e-06,
695,2.733882865868509e-06,
696,2.715510163397994e-06,
697,2.7008902634406695e-06,
698,2.7186488296138123e-06,
699,2.7027888336306205e-06,
700,2.7003104605682893e-06,
701,2.7039727683586534e-06,
702,2.6745203740574652e-06,
703,2.663144186954014e-06,
704,2.673013568710303e-06,
705,2.6811130737769417e-06,
706,2.678306145753595e-06,
707,2.6718171284301206e-06,
708,2.6727241220214637e-06,
709,2.6778877781907795e-06,
710,2.678722694327007e-06,
711,2.646970642672386e-06,
712,2.6516374873608584e-06,
713,2.642216259118868e-06,
714,2.6401251034258166e-06,
715,2.654858462847187e-06,
716,2.6261625407641986e-06,
717,2.633048097777646e-06,
718,2.629522896313574e-06,
719,2.620002305775415e-06,
720,2.6200737011095043e-06,
721,2.5974918571591843e-06,
722,2.621700332383625e-06,
723,2.589969653854496e-06,
724,2.6196794351562858e-06,
725,2.5811843897827202e-06,
726,2.606960379125667e-06,
727,2.5730346351338085e-06,
728,2.588192273833556e-06,
729,2.5776828351808945e-06,
730,2.5542849471094087e-06,
731,2.5693286715977592e-06,
732,2.565610429883236e-06,
733,2.5558965717209503e-06,
734,2.5427493710594717e-06,
735,2.541685489632073e-06,
736,2.5383185402461095e-06,
737,2.530701976866112e-06,
738,2.52911581810622e-06,
739,2.545066763559589e-06,
740,2.5357294362038374e-06,
741,2.5239162368961843e-06,
742,2.5070826268347446e-06,
743,2.520851921872236e-06,
744,2.4981134174595354e-06,
745,2.496409024388413e-06,
746,2.506888449715916e-06,
747,2.4764699446677696e-06,
748,2.4915061658248305e-06,
749,2.4791816031211056e-06,
750,2.477897851349553e-06,
751,2.466347723384388e-06,
752,2.4888975076464703e-06,
753,2.452532044117106e-06,
754,2.4567998480051756e-06,
755,2.4527128061890835e-06,
756,2.452657554385951e-06,
757,2.450609372317558e-06,
758,2.4378796297241934e-06,
759,2.4420994577667443e-06,
760,2.4350822513952153e-06,
761,2.427170329610817e-06,
762,2.4469750314892735e-06,
763,2.4238795504061272e-06,
764,2.4109635887725744e-06,
765,2.4286894131364534e-06,
766,2.4214202767325332e-06,
767,2.3981860977073666e-06,
768,2.413150241409312e-06,
769,2.412429921605508e-06,
770,2.3912077722343383e-06,
771,2.3845000214350875e-06,
772,2.3783527467458043e-06,
773,2.386582536928472e-06,
774,2.3830193640606012e-06,
775,2.3896725451777456e-06,
776,2.356247932766564e-06,
777,2.3765383048157673e-06,
778,2.3690472517046146e-06,
779,2.3639506707695546e-06,
780,2.3588304429722484e-06,
781,2.3427292035194114e-06,
782,2.35143897953094e-06,
783,2.338689682801487e-06,
784,2.3344707642536378e-06,
785,2.3277141281141667e-06,
786,2.3378584046440665e-06,
787,2.3191958007373614e-06,
788,2.3066404537530616e-06,
789,2.313004870302393e-06,
790,2.31121816796076e-06,
791,2.3107734250515932e-06,
792,2.3116410829970846e-06,
793,2.2972419628786156e-06,
794,2.293843635925441e-06,
795,2.2892957076692255e-06,
796,2.289163603563793e-06,
797,2.2886272290634224e-06,
798,2.275782208016608e-06,
799,2.2810565951658646e-06,
800,2.274528924317565e-06,
801,2.267971012770431e-06,
802,2.2764124878449365e-06,
803,2.257617325085448e-06,
804,2.263639771626913e-06,
805,2.270655841130065e-06,
806,2.2623114546149736e-06,
807,2.278144165757112e-06,
808,2.2412905309465714e-06,
809,2.2348772290570196e-06,
810,2.2368685677065514e-06,
811,2.228972334705759e-06,
812,2.24303153117944e-06,
813,2.231195139756892e-06,
814,2.211604169133352e-06,
815,2.210230377386324e-06,
816,2.21526829591312e-06,
817,2.2342733245750424e-06,
818,2.1990961158735445e-06,
819,2.210093271060032e-06,
820,2.1829994238942163e-06,
821,2.203171106884838e-06,
822,2.1992684651195304e-06,
823,2.2029964839020977e-06,
824,2.1833620849065483e-06,
825,2.1859477783436887e-06,
826,2.1774721972178668e-06,
827,2.171191681554774e-06,
828,2.1756713977083564e-06,
829,2.152698471036274e-06,
830,2.163821591238957e-06,
831,2.157826884285896e-06,
832,2.15013142224052e-06,
833,2.149029569409322e-06,
834,2.149531837858376e-06,
835,2.1478074359038146e-06,
836,2.1580917746177875e-06,
837,2.1425153136078734e-06,
838,2.1291673419909785e-06,
839,2.1397281670942903e-06,
840,2.1248008579277666e-06,
841,2.135641580025549e-06,
842,2.131850123987533e-06,
843,2.10967959901609e-06,
844,2.101437530654948e-06,
845,2.113586560881231e-06,
846,2.1194907731114654e-06,
847,2.1117257347214036e-06,
848,2.0990605662518647e-06,
849,2.1082844341435703e-06,
850,2.0894608496746514e-06,
851,2.0708926058432553e-06,
852,2.0903767108393367e-06,
853,2.0759332528541563e-06,
854,2.078642637570738e-06,
855,2.0899190076306695e-06,
856,2.066889692287077e-06,
857,2.0613140350178583e-06,
858,2.0626023342629196e-06,
859,2.0548234260786558e-06,
860,2.048988790193107e-06,
861,2.0497857349255355e-06,
862,2.0469867649808293e-06,
863,2.038842922047479e-06,
864,2.0281379420339363e-06,
865,2.0445017980819102e-06,
866,2.0336497073003557e-06,
867,2.0378536191856256e-06,
868,2.0447923816391267e-06,
869,2.0067375317012193e-06,
870,2.0305183170421515e-06,
871,2.011178366956301e-06,
872,2.0235618194419658e-06,
873,2.0208767637086567e-06,
874,1.99235887521354e-06,
875,1.9994013200630434e-06,
876,1.998837433347944e-06,
877,2.0043798940605484e-06,
878,1.99245118892577e-06,
879,1.9926017102989135e-06,
880,1.997420895349933e-06,
881,1.9759695533139165e-06,
882,1.9869787593052024e-06,
883,2.001021130126901e-06,
884,1.96740438695997e-06,
885,1.9882511423929827e-06,
886,1.9822100512101315e-06,
887,1.9772603536694078e-06,
888,1.9677559066622052e-06,
889,1.960468807737925e-06,
890,1.9596020592871355e-06,
891,1.965200681297574e-06,
892,1.9487486042635283e-06,
893,1.9464105207589455e-06,
894,1.9424153379077325e-06,
895,1.9471378891466884e-06,
896,1.9340891412866767e-06,
897,1.937773504323559e-06,
898,1.929235850184341e-06,
899,1.930093503688113e-06,
900,1.9165913727192674e-06,
901,1.9304754914628575e-06,
902,1.923194304254139e-06,
903,1.933180783453281e-06,
904,1.9279111711512087e-06,
905,1.90409627975896e-06,
906,1.904173018374422e-06,
907,1.910737410071306e-06,
908,1.9047702153329737e-06,
909,1.9073038401984377e-06,
910,1.8962612102768617e-06,
911,1.8992490140590235e-06,
912,1.888521410364774e-06,
913,1.8950772755488288e-06,
914,1.882034666778054e-06,
915,1.87713987997995e-06,
916,1.878913849395758e-06,
917,1.8738754761216114e-06,
918,1.8989746877196012e-06,
919,1.8666642063180916e-06,
920,1.8699537349675666e-06,
921,1.858823566180945e-06,
922,1.8756682038656436e-06,
923,1.850212811405072e-06,
924,1.8415131535221008e-06,
925,1.8592502328829141e-06,
926,1.8429008150633308e-06,
927,1.8521948277339106e-06,
928,1.8380031860942836e-06,
929,1.834194449656934e-06,
930,1.8381268773737247e-06,
931,1.8453406482876744e-06,
932,1.8468132338966825e-06,
933,1.8133661114916322e-06,
934,1.8120550748790265e-06,
935,1.8315055285711423e-06,
936,1.8216348962596385e-06,
937,1.8132635659640073e-06,
938,1.8181954146712087e-06,
939,1.8133322328139911e-06,
940,1.8035975699604023e-06,
941,1.799285200831946e-06,
942,1.7896724102683947e-06,
943,1.8058096884487895e-06,
944,1.7904716287375777e-06,
945,1.8035414086625678e-06,
946,1.7876457150123315e-06,
947,1.7871416275738738e-06,
948,1.7826982912083622e-06,
949,1.7859847503132187e-06,
950,1.7751095811036066e-06,
951,1.7691418179310858e-06,
952,1.7692115079626092e-06,
953,1.7548841242387425e-06,
954,1.7747009906088351e-06,
955,1.7662943037066725e-06,
956,1.752619027683977e-06,
957,1.7578245206095744e-06,
958,1.747674787111464e-06,
959,1.7530040850033402e-06,
960,1.7467325506004272e-06,
961,1.7587949514563661e-06,
962,1.7316154981017462e-06,
963,1.7500295825811918e-06,
964,1.7404850041202735e-06,
965,1.7331616390947602e-06,
966,1.7256289766010013e-06,
967,1.7296464420724078e-06,
