Predicted_gap (scaled),Predicted_Lc (scaled)
0.19790572,0.33907786
0.19785315,0.3421704
0.19778827,0.34528586
0.19772181,0.34846938
0.19772974,0.35195807
0.19775333,0.3555686
0.19777407,0.35916314
0.19779526,0.3627138
0.19781777,0.36620623
0.19784129,0.36965325
0.19786532,0.37307197
0.19788946,0.37647998
0.1979132,0.37989447
0.19793601,0.38332924
0.19795743,0.38678783
0.19801234,0.39043435
0.19806904,0.39412725
0.19812967,0.3979628
0.19819167,0.40189776
0.19827905,0.4056876
0.19837338,0.4094181
0.19846691,0.41311422
0.19853133,0.41671416
0.19855738,0.42018822
0.19858399,0.42360064
0.19862553,0.42698863
0.1987371,0.4303634
0.1990573,0.43371192
0.19929422,0.43693623
0.1994894,0.44022244
0.1996991,0.44370636
0.19991954,0.44726896
0.20013951,0.45082262
0.2003614,0.45437095
0.20058264,0.4578997
0.20051888,0.46079016
0.20044614,0.46363467
0.20037484,0.46645996
0.20030427,0.4692619
0.20030156,0.47204572
0.20032895,0.47482693
0.20035423,0.4776179
0.20037402,0.48042837
0.20039533,0.48328158
0.20040326,0.48610714
0.20040883,0.48894984
0.20057702,0.49237943
0.2012783,0.4976803
0.20196608,0.5028923
0.20274878,0.50850403
0.20363519,0.5145697
0.20417354,0.51921827
0.20464152,0.52354753
0.20498759,0.527397
0.20522204,0.53081083
0.20546082,0.5342191
0.20569147,0.5376031
0.20583124,0.54082793
0.20587894,0.54391724
0.20592818,0.54703456
0.20598042,0.55037373
0.20603251,0.55372363
0.20608342,0.55705565
0.20613228,0.5603536
0.20617872,0.56361055
0.20621902,0.56683266
0.20625632,0.5700359
0.20629434,0.5732378
0.20633408,0.5764514
0.2063762,0.57968426
0.2064203,0.58292925
0.20646596,0.5861771
0.20653471,0.58942276
0.20662697,0.5926572
0.20671895,0.5958678
0.20681894,0.5990795
0.20696284,0.60242665
0.20710975,0.60573316
0.20724973,0.60897803
0.2073794,0.61215246
0.20750867,0.6152861
0.2076426,0.61859393
0.20777863,0.62190413
0.20791769,0.62522584
0.20806074,0.62857395
0.20820665,0.63194126
0.20835376,0.6353135
0.20850061,0.638677
0.20864551,0.64201766
0.20878717,0.64532435
0.2089261,0.6486014
0.20906329,0.6518587
0.2092348,0.6551527
0.20941289,0.65845466
0.20958868,0.6617599
0.20975927,0.6650574
0.20993201,0.66834295
0.21010688,0.67160356
0.21028626,0.67483324
0.21049762,0.6781083
0.21071066,0.68133354
0.21092187,0.68456495
0.21113092,0.68776524
0.21133655,0.6909282
0.21153714,0.6940568
0.21173346,0.69715405
0.21192741,0.7002229
0.21212113,0.7032658
0.21231687,0.7062856
0.21251692,0.70928735
0.21269962,0.7120706
0.21286246,0.71463776
0.21302658,0.7171984
0.21319064,0.7197585
0.2133532,0.7223231
0.2135137,0.7248868
0.21351436,0.72703564
0.21350828,0.7291456
0.21350317,0.7312088
0.21349972,0.7332095
0.21349807,0.73514783
0.21353832,0.7369796
0.21375571,0.73851
0.21397924,0.7400348
0.21420974,0.74157834
0.21438302,0.7432128
0.21446958,0.7449435
0.21452376,0.7468271
0.21457723,0.74868476
0.21462993,0.75049424
0.21468157,0.75224423
0.21472886,0.75392973
0.21477593,0.7555691
0.21482366,0.75720406
0.21486801,0.75915754
0.21491155,0.761055
0.21493839,0.763029
0.21490659,0.765269
0.21487086,0.7675294
0.21482863,0.7698239
0.21478575,0.7721047
0.21473949,0.7743813
0.21469183,0.776631
0.21463594,0.7788232
0.2145741,0.78101534
0.24111213,0.0807145
0.24037743,0.08106766
0.23964164,0.081430726
0.23890388,0.08180162
0.23816332,0.08217842
0.23741892,0.08255903
0.23666576,0.08296991
0.23590669,0.08338273
0.235141,0.083793916
0.23433903,0.084243126
0.23356947,0.0847538
0.23302281,0.08542491
0.23248248,0.08608853
0.23216672,0.08765154
0.23186077,0.08928505
0.23153344,0.090847336
0.2311931,0.09237697
0.23084341,0.093885146
0.23079939,0.09695003
0.2307496,0.10024761
0.23062812,0.10356155
0.23042037,0.106040135
0.23019567,0.10841694
0.22994387,0.11064599
0.22965541,0.11268506
0.22932002,0.11448749
0.22892922,0.11601675
0.22848776,0.11730261
0.2280118,0.11843394
0.22751737,0.1194978
0.22702119,0.12058607
0.22656108,0.12224617
0.22619373,0.12493292
0.22582665,0.12770414
0.22541401,0.13025472
0.22493127,0.13239616
0.22434112,0.13397777
0.22359093,0.13507411
0.22283956,0.13560796
0.22206116,0.13573542
0.2212356,0.13560575
0.22054687,0.1360276
0.21993992,0.13677469
0.21932954,0.1374945
0.21887621,0.13893051
0.21856911,0.14104924
0.21822524,0.14323696
0.21780807,0.14553756
0.21740744,0.14837429
0.21700513,0.15135649
0.21658726,0.15426347
0.2161456,0.15706843
0.21568726,0.15973544
0.21527392,0.16245481
0.21497354,0.16512331
0.21467197,0.16775909
0.21444845,0.17033803
0.2141211,0.17301038
0.21379349,0.17569998
0.21345866,0.17836607
0.21310923,0.18096626
0.21270333,0.18398914
0.21218252,0.18818384
0.21163347,0.19222477
0.21142238,0.19593713
0.21122426,0.19943404
0.21099097,0.20279661
0.2107231,0.20603311
0.21036646,0.20890889
0.20993559,0.21130413
0.20953497,0.21362087
0.20910877,0.2160244
0.20876521,0.21878478
0.20814651,0.22116125
0.20732597,0.22318661
0.2063689,0.2262955
0.20539042,0.22934571
0.20438889,0.23232207
0.20350417,0.23576474
0.20271522,0.2396242
0.20202719,0.24300954
0.20147093,0.24583593
0.2009092,0.24862432
0.20032153,0.2513382
0.19968565,0.25393468
0.19902456,0.2564437
0.19863248,0.25843355
0.19819026,0.2603027
0.19769475,0.26204088
0.19742158,0.26445094
0.19714995,0.26688257
0.1971084,0.26893017
0.19704828,0.27092266
0.19697466,0.27287418
0.19689524,0.274811
0.19693148,0.27704635
0.1971131,0.27965286
0.19729805,0.282277
0.19748054,0.28485438
0.19767208,0.28744948
0.19787201,0.2900227
0.19810209,0.2924504
0.19842167,0.29538748
0.19874594,0.29838777
0.19900739,0.30127758
0.1990551,0.3037158
0.19899899,0.30588382
0.19894059,0.30802372
0.19888149,0.31014788
0.19892845,0.31273243
0.19897273,0.31532836
0.19904414,0.31808025
0.198904,0.32045636
0.19875187,0.32286188
0.19859593,0.3252854
0.19842789,0.32773444
0.19831654,0.33045208
0.19826372,0.33349323
0.19820459,0.3364978
0.1981405,0.33947372
0.19807325,0.34246537
0.19800475,0.34550294
0.1979409,0.34857306
0.19789964,0.35178962
0.19785792,0.35502306
0.19788128,0.35847843
0.19791213,0.36197665
0.19794363,0.36550036
0.19797555,0.3690503
0.19800721,0.37261257
0.19803745,0.37617043
0.19806543,0.37970662
0.19809015,0.3832043
0.19811082,0.38664982
0.19813974,0.3901018
0.19819203,0.39363638
0.19824512,0.39720014
0.19830264,0.40085486
0.19837642,0.40439907
0.1984647,0.4078517
0.19855246,0.41130725
0.19864,0.41477108
0.1986646,0.4181645
0.19868724,0.42157295
0.19870977,0.42499158
0.19875689,0.42843086
0.19893688,0.43184474
0.19922163,0.43516293
0.19940832,0.43843094
0.1995928,0.44166148
0.19979995,0.4450495
0.20001401,0.4484922
0.20022978,0.45196244
0.20045319,0.4554844
0.20050779,0.45868692
0.20042786,0.4616236
0.20034842,0.46456027
0.20027077,0.46747902
0.20022647,0.47036296
0.20025514,0.47320548
0.20028502,0.47600806
0.20031597,0.47877398
0.20034003,0.48149532
0.20036379,0.48418438
0.20038041,0.48682892
0.20038867,0.48943254
0.20039716,0.49203613
0.20060475,0.49535942
0.20126742,0.50032514
0.20195693,0.505425
0.20287181,0.5115229
0.20374486,0.5175119
0.20422459,0.5219328
0.20470485,0.5263246
0.20499274,0.5299848
0.20522875,0.5334316
0.2054651,0.5368671
0.20567332,0.5402321
0.20578073,0.5434339
0.20582107,0.54653937
0.20586163,0.5496756
0.20590459,0.5530092
0.20594802,0.5563454
0.20599231,0.55967784
0.20603752,0.56299806
0.20608383,0.5662924
0.20612425,0.5695367
0.20616513,0.57272476
0.20620668,0.5758441
0.20625003,0.57888496
0.20629485,0.5818728
0.20634049,0.58484125
0.20642388,0.5878295
0.20651121,0.5908652
0.20659941,0.5939717
0.20668837,0.59713125
0.20678493,0.6003394
0.20692621,0.603701
0.20707,0.6071254
0.20718682,0.61059725
0.20730628,0.614004
0.20744452,0.6173929
0.2075822,0.62075686
0.20771903,0.62411857
0.2078555,0.6274949
0.20799184,0.6308923
0.2081284,0.63431114
0.20826536,0.63775134
0.20840305,0.6412134
0.20854172,0.644696
0.20868117,0.6481801
0.20882128,0.65163803
0.2089667,0.6550485
0.20914927,0.65842575
0.20932144,0.66168195
0.20949176,0.6648359
0.2096616,0.6679205
0.20983118,0.67096734
0.21000063,0.67400825
0.2101703,0.6770736
0.21034887,0.68019915
0.21054953,0.6834137
0.21075107,0.68663526
0.21095401,0.6898511
0.21115804,0.693063
0.21136162,0.6962904
0.21156542,0.6994818
0.21176824,0.7026291
0.21196905,0.70572364
0.21216685,0.70875704
0.2123616,0.71173835
0.21252723,0.7144463
0.21267582,0.7170057
0.2128262,0.7196057
0.21297888,0.7222651
0.21313418,0.7249856
0.2132914,0.72773147
0.21332872,0.73015463
0.21332154,0.73241353
0.21331398,0.73460054
0.21330911,0.7366859
0.2133065,0.73868465
0.21330577,0.7406157
0.2133065,0.7424983
0.21330829,0.7443509
0.21338469,0.74607337
0.21360853,0.747557
0.21383391,0.749033
0.2140604,0.75050545
0.21426648,0.7519994
0.21434942,0.75361955
0.21443179,0.7552514
0.21448344,0.757046
0.21453482,0.75885636
0.2145817,0.76067364
0.24521151,0.07866464
0.24449323,0.079058744
0.2437608,0.07945792
0.24306783,0.07983399
0.24239358,0.0802101
0.24172282,0.08058957
0.24105115,0.08097056
0.24037409,0.08135105
0.23968726,0.08172915
0.23898615,0.08210286
0.23826638,0.082470186
0.23752436,0.08282969
0.2367612,0.08319152
0.23597941,0.083573505
0.23518702,0.08395402
0.23436975,0.08436258
0.23356918,0.08484987
0.23316422,0.08617726
0.232913,0.08812805
0.23270673,0.0901039
0.23251382,0.09210317
0.23247746,0.09485584
0.23288094,0.099844
0.23324573,0.10481874
0.23336098,0.109030075
0.23320127,0.1119047
0.23291363,0.114200585
0.23254248,0.115991525
0.2321474,0.117500946
0.23173566,0.1189541
0.23135489,0.120578475
0.23105034,0.12258988
0.23081729,0.12496144
0.23060471,0.12744203
0.23035944,0.12977074
0.23007248,0.13258478
0.2296681,0.1351363
0.22910798,0.13679609
0.22844887,0.13777503
0.22774738,0.13842475
0.2270391,0.1390556
0.22634546,0.13971868
0.2256913,0.14053863
0.22514212,0.14154288
0.22462595,0.14272033
0.22413546,0.14402354
0.22374654,0.14581284
0.22350033,0.14828238
0.22321233,0.15058413
0.2228306,0.15246877
0.22230399,0.15369013
0.22160989,0.15413174
0.22095671,0.15467995
0.22015744,0.1549966
0.21923774,0.15545195
0.21841103,0.15634671
0.21788517,0.1586507
0.21739838,0.16124585
0.21700303,0.16398811
0.21680173,0.1669009
0.21673352,0.16999388
0.21671101,0.17323291
0.2166577,0.17631102
0.21643345,0.17902991
0.21606821,0.18127865
0.21555375,0.18292385
0.21510532,0.18485606
0.21466556,0.18686387
0.21416199,0.18893585
0.21350741,0.19242582
0.21286717,0.19581378
0.21251205,0.19897312
0.2122854,0.20236328
0.2120841,0.20584768
0.21193066,0.20954403
0.21178389,0.21329585
0.2116934,0.21682158
0.21155292,0.22022271
0.21127123,0.22323593
0.21048719,0.22529045
0.20965566,0.227213
0.20883441,0.22914487
0.20795345,0.2319125
0.20706117,0.23502874
0.20626163,0.2385408
0.20571122,0.24315947
0.2052712,0.24729913
0.20487298,0.25045988
0.20435439,0.2531968
0.20369451,0.2555043
0.2029239,0.25746772
0.20206626,0.25916183
0.20113184,0.26063547
0.2004199,0.26170492
0.19979969,0.26302144
0.19918966,0.26437923
0.19861235,0.26583698
0.19809881,0.26750216
0.19784811,0.26944175
0.19794932,0.27184084
0.19805819,0.2742645
0.19815682,0.27666625
0.19822803,0.27901617
0.19826102,0.28127322
0.19825085,0.2834313
0.19820163,0.28548986
0.1981428,0.2874497
0.19826387,0.28980032
0.19841702,0.2920521
0.19867767,0.29477033
0.19893867,0.2974854
0.19920869,0.300228
0.19942142,0.3029278
0.19945268,0.30525675
0.19943792,0.30749276
0.19942735,0.30974907
0.19942051,0.3120384
0.19950607,0.3147618
0.19956347,0.31745675
0.19955613,0.32000735
0.1993536,0.32223296
0.19914654,0.32445803
0.19893807,0.32667348
0.1987398,0.32891735
0.19857883,0.33132926
0.19850522,0.3342056
0.19845027,0.33716962
0.19841608,0.34023502
0.19838691,0.34333518
0.19839373,0.34674558
0.19839683,0.3501573
0.19838831,0.35353777
0.19836557,0.35685882
0.19832468,0.36009935
0.19826847,0.36326733
0.19820164,0.36637795
0.19812995,0.3694505
0.19814667,0.37277737
0.19816397,0.37608656
0.19818226,0.37938723
0.19820124,0.382691
0.19822085,0.38600853
0.19824076,0.38935098
0.19828635,0.39284402
0.19834477,0.3964294
0.1984113,0.40018147
0.19848996,0.40383795
0.19858499,0.4073472
0.19867593,0.41080433
0.19876336,0.4142166
0.19879378,0.417532
0.19881648,0.420837
0.19884026,0.42416412
0.19887462,0.4275429
0.19893712,0.4309945
0.19920325,0.43452767
0.19939724,0.43791574
0.19959024,0.44128403
0.19978464,0.4446343
0.20000869,0.44814402
0.20022964,0.45160717
0.20044753,0.4550257
0.20044318,0.45793718
0.200378,0.46068496
0.20031479,0.46340972
0.20025241,0.46612406
0.20018986,0.4688406
0.20021093,0.47157228
0.20024125,0.4743312
0.20027028,0.477119
0.2002986,0.47992066
0.20032153,0.4827131
0.20034125,0.48550472
0.20035717,0.48824593
0.20036218,0.4908926
0.20036823,0.49351242
0.20037523,0.4961219
0.20087263,0.5004778
0.2016145,0.5057637
0.202524,0.5117808
0.2033914,0.5177633
0.20396098,0.5225856
0.20442268,0.526988
0.2048012,0.5310873
0.20502956,0.5346308
0.20526063,0.53815377
0.20546293,0.5415707
0.2056651,0.54493034
0.20570534,0.54792744
0.20574832,0.550839
0.20579448,0.55381155
0.20584236,0.55685043
0.20588979,0.55990773
0.2059358,0.5630204
0.20597945,0.56621534
0.20601785,0.5694679
0.20605235,0.57274497
0.20608799,0.57601804
0.20612593,0.57925403
0.20617497,0.58242667
0.20626321,0.5855464
0.20635183,0.5886235
0.20644045,0.59167504
0.2065286,0.59471804
0.2066158,0.5977688
0.20670888,0.6010963
0.20683527,0.60458696
0.20697632,0.6081749
0.2070885,0.61177295
0.20719916,0.61542517
0.20731172,0.6191226
0.20742524,0.62280834
0.20753938,0.62643236
0.20767161,0.62997645
0.20780993,0.6333803
0.20795015,0.6366481
0.20809151,0.6398262
0.20823288,0.64296114
0.20837337,0.64609957
0.20851201,0.6492864
0.20864898,0.6525306
0.20878538,0.6558114
0.20895118,0.65914565
0.20912042,0.662475
0.20929264,0.66577566
0.20946771,0.66903526
0.20964426,0.672252
0.20982078,0.6754242
0.20999599,0.6785501
0.21016704,0.68163306
0.21033648,0.68469274
0.21053007,0.6878272
0.21072303,0.6909792
0.21091671,0.6941773
0.21111263,0.6974498
0.21131167,0.70080084
0.21151462,0.704206
0.21171643,0.70763177
0.21191826,0.71100026
0.21211955,0.7142588
0.21229337,0.7171439
0.2124469,0.71974087
0.21260032,0.7222558
0.21275342,0.72471243
0.21290624,0.7271339
0.21305865,0.72953975
0.21318935,0.73188496
0.21318659,0.73389137
0.21318357,0.7359072
0.21317884,0.7379422
0.21317136,0.7400063
0.21316284,0.7421011
0.21315333,0.74423456
0.21314248,0.74641323
0.21313071,0.7486475
0.24850401,0.07684236
0.24778894,0.077240855
0.24708924,0.07765102
0.24657275,0.0779886
0.24606667,0.07833148
0.24556431,0.07867838
0.2450029,0.07906043
0.2443355,0.079468094
0.24379501,0.08028174
0.24330112,0.08119003
0.24270469,0.08181877
0.24198407,0.082107835
0.24115385,0.08209806
0.24024315,0.0818702
0.23943618,0.0820121
0.23868686,0.08235934
0.23793694,0.08270812
0.23718989,0.08305851
0.23644543,0.0834301
0.23570761,0.08381246
0.23510557,0.08476745
0.23475406,0.08690462
0.23443004,0.0890845
0.2342972,0.09132782
0.23424041,0.09401884
0.23460764,0.09880283
0.23481363,0.10291047
0.23488301,0.10656635
0.2347776,0.10979408
0.23454943,0.112371534
0.2343196,0.11498129
0.23412189,0.11778619
0.23400737,0.12099097
0.23395169,0.12433453
0.23390204,0.12754807
0.23376942,0.1303663
0.23349962,0.13252696
0.23308203,0.13397318
0.23255575,0.13488156
0.23197909,0.13575199
0.2314178,0.13725175
0.23087603,0.13879539
0.23037739,0.14051509
0.22991565,0.1423974
0.22949651,0.1444129
0.22910993,0.14653511
0.22889885,0.14957386
0.2290692,0.15351656
0.22919384,0.15726697
0.2292169,0.16060597
0.22904134,0.16340974
0.22867298,0.16532084
0.22809649,0.16626492
0.22736761,0.16650459
0.22655326,0.16635594
0.22572006,0.16613391
0.22493392,0.16614953
0.22427088,0.16675383
0.22370006,0.16793638
0.22320946,0.17002085
0.22269623,0.17250472
0.22252789,0.17563176
0.22253457,0.17880559
0.22244594,0.1816284
0.2221914,0.18378541
0.22169349,0.1849846
0.22087368,0.18493024
0.22022246,0.18559393
0.2195479,0.18620908
0.2186669,0.18638939
0.21774372,0.1864532
0.2168745,0.1867421
0.21612734,0.18752629
0.21547493,0.18870068
0.21495697,0.19043538
0.21452269,0.19419435
0.21411395,0.19826347
0.21384135,0.20189765
0.21360439,0.20552185
0.21341392,0.20916548
0.21321815,0.21278548
0.21304955,0.21638542
0.21297333,0.21990716
0.21300662,0.22383854
0.2130492,0.22809425
0.21269059,0.23169693
0.21209562,0.23474136
0.21152285,0.23752177
0.21077642,0.2395016
0.20982018,0.24202654
0.20878087,0.24430296
0.20789605,0.24696997
0.20698959,0.24932078
0.20620841,0.2511509
0.2054128,0.2529735
0.20461766,0.2548649
0.20387118,0.25696257
0.2032226,0.25940076
0.20267203,0.2621762
0.20232737,0.26495272
0.20217068,0.2675601
0.20198755,0.27009413
0.20172295,0.27240032
0.20134792,0.27439472
0.2009145,0.27607134
0.20059611,0.27723113
0.2001935,0.27815807
0.19971672,0.27888718
0.19925609,0.27974612
0.19898722,0.28113353
0.19888613,0.28298944
0.19879213,0.28487122
0.19872233,0.28681782
0.19867572,0.28879756
0.19863337,0.2907435
0.19878015,0.29316482
0.19911647,0.2960937
0.19943821,0.2989886
0.19974008,0.30183485
0.1999389,0.3045251
0.19991764,0.30671528
0.19985442,0.30880305
0.19979252,0.31088996
0.19974461,0.31302762
0.19980484,0.31564704
0.19986242,0.31833813
0.19986764,0.3209758
0.19971709,0.32337406
0.19957793,0.32584208
0.1994463,0.32835087
0.19932239,0.33089045
0.19918671,0.3333868
0.19912489,0.33630356
0.19907457,0.3393391
0.19900557,0.34229743
